YEAR,MO,DY,T2M,TS,PRECTOTCORR,PS,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,QV2M,WS10M,WS50M
2001,4,25,13.82,15.75,3.63,74.79,5.87,7.98,0.55,327.93,108.62,143.98,15.31,0.47,2.43,8.06,3.5,4.45
2001,4,26,12.92,14.61,2.4,74.69,4.53,7.42,0.42,343.99,85.13,132.62,11.82,0.37,1.88,8.18,2.08,2.71
2001,4,27,13.89,15.62,1.53,74.59,4.24,7.21,0.4,337.7,78.86,127.39,10.91,0.34,1.73,7.93,1.73,2.23
2001,4,28,14.33,16.15,1.15,74.59,5.13,7.42,0.48,343.45,94.15,131.06,12.93,0.39,2.02,8,1.8,2.52
2001,4,29,14.67,16.58,0.5,74.69,5.28,7.28,0.49,329.84,96.98,129.24,13.07,0.38,1.95,7.63,1.56,2.07
2001,4,30,15.31,16.88,0.42,74.73,4,7.69,0.38,332.44,75.48,138.2,10.64,0.32,1.63,7.93,1.54,2.26
2001,5,1,16.03,17.42,0.85,74.6,5.32,7.77,0.49,318.05,98.33,139.88,13.52,0.43,2.24,8.18,1.87,2.6
2001,5,2,17.09,18.24,0.85,74.48,5.95,7.43,0.55,321.05,108.03,131.9,14.34,0.44,2.27,7.57,2.26,3.23
2001,5,3,15.9,16.06,0.03,74.59,5.38,7.63,0.5,312.39,98.05,135.19,13.11,0.36,1.84,6.96,2.08,2.83
2001,5,4,16.76,16.57,0,74.61,5.6,7.53,0.52,306.82,100.59,132.15,13.27,0.38,1.95,5.92,2.06,2.74
2001,5,5,16.14,15.94,0.01,74.57,3.89,7.52,0.36,321.17,72.96,132.55,10.04,0.29,1.48,5.68,1.88,2.7
2001,5,6,17.78,19.03,1.11,74.58,6.06,7.6,0.56,321.5,110.02,135.4,14.79,0.43,2.2,6.84,1.16,1.81
2001,5,7,15.44,16.82,3.73,74.77,3.8,7.79,0.35,339.18,71.8,140.12,10.13,0.29,1.47,8.24,3.06,4.44
2001,5,8,13.48,15.02,4.8,74.73,5.28,7.76,0.48,328.03,98.4,138.74,13.67,0.39,2.01,8.42,3.48,4.65
2001,5,9,12.81,14.87,0.81,74.63,6.11,8.27,0.56,317.97,113.13,150.02,15.99,0.47,2.38,6.53,3.02,4.14
2001,5,10,13.53,15.44,0.11,74.56,6.29,8.29,0.58,300.88,114.55,148.53,15.99,0.46,2.37,6.1,2.51,3.55
2001,5,11,14.29,15.89,4.88,74.56,4.55,7.8,0.42,324.67,85.45,140.32,11.93,0.34,1.77,7.87,2.16,3.05
2001,5,12,13.4,14.55,2.9,74.65,4.64,7.52,0.43,332.28,87.05,133.95,12.09,0.35,1.8,8.06,1.4,1.9
2001,5,13,12.43,13.87,5.94,74.77,3.85,7.57,0.35,332.67,73.71,135.02,10.42,0.32,1.63,8.36,1.82,2.66
2001,5,14,14.32,16.29,1.48,74.76,5.78,8.04,0.53,329.82,108.04,146.48,15.2,0.45,2.35,7.93,1.91,2.68
2001,5,15,15.44,17.06,0.6,74.68,6.39,8.1,0.59,324.74,118.58,147.53,16.55,0.51,2.62,8.18,1.85,2.6
2001,5,16,15.6,15.98,0.21,74.55,6.91,8.1,0.63,315.9,128.15,148.17,17.86,0.56,2.95,7.08,2.2,3.15
2001,5,17,17.68,18.58,0.02,74.54,6.98,8.12,0.64,314.64,128.23,147.1,17.72,0.55,2.85,5.98,1.91,2.81
2001,5,18,17.88,18.48,0.03,74.65,6.97,7.88,0.64,315.39,126.58,141.12,17.32,0.54,2.84,7.26,1.84,2.88
2001,5,19,18.48,19.34,0,74.61,7.05,7.82,0.65,316.98,129.83,141.6,17.6,0.54,2.81,6.1,2.09,3.09
2001,5,20,18.85,20.26,1.1,74.48,7.01,7.92,0.64,316.72,128.77,143.29,17.65,0.55,2.88,7.93,1.58,2.55
2001,5,21,18.12,19.41,1.56,74.46,5.46,7.7,0.5,335.41,101.04,138.58,13.75,0.42,2.23,10.01,1.46,2.39
2001,5,22,16.69,18.05,3.36,74.58,4.86,7.1,0.45,342.45,89.88,125.66,12.06,0.38,1.95,9.95,2.66,3.6
2001,5,23,15.69,17.22,5.73,74.62,4.88,7.1,0.45,339.61,89.75,125.61,11.91,0.37,1.93,9.58,1.7,2.33
2001,5,24,15.48,16.22,3.14,74.64,5.31,7.6,0.48,334.81,98.91,137.16,13.7,0.43,2.2,9.58,1.48,2.12
2001,5,25,16.21,17.03,0.26,74.66,6.74,8.22,0.62,312.82,123.52,148.48,17.19,0.52,2.66,6.77,3.03,4.2
2001,5,26,15.14,15.88,0.08,74.6,8.37,8.49,0.77,277.5,150.58,151.53,20.7,0.62,3.23,5.74,3.46,4.98
2001,5,27,14.98,16.04,0,74.47,7.69,8.45,0.7,289.29,139.16,150.92,19.21,0.58,3.01,5.37,3.13,4.52
2001,5,28,17.17,18.58,0,74.4,8.23,8.4,0.75,299.36,150.68,152.56,20.76,0.62,3.28,6.04,1.5,2.2
2001,5,29,17.36,19.05,0.41,74.48,6.4,8.31,0.59,331.74,120.22,153.09,17.1,0.53,2.79,9.58,2.05,2.89
2001,5,30,18.42,20.3,1.5,74.51,6.17,7.87,0.56,328.91,115.08,142.8,16.12,0.52,2.7,10.01,1.5,2.17
2001,5,31,18,19.88,3.52,74.48,5.71,7.61,0.52,337.66,105.53,136.6,14.5,0.45,2.39,9.95,2.18,3.21
2001,6,1,15.88,16.94,3.97,74.49,5.41,7.76,0.49,345.32,101.09,140.12,14.22,0.45,2.38,9.89,2.21,3.2
2001,6,2,17.08,18.85,3.17,74.38,6.02,7.73,0.55,338.77,112.02,139.77,15.42,0.48,2.49,8.85,1.77,2.62
2001,6,3,17.15,18.61,3.07,74.22,6.87,8.15,0.62,326.19,128.67,149.92,18.05,0.55,2.87,7.93,1.83,2.67
2001,6,4,17.13,18.51,2.4,74.2,5.25,7.48,0.48,343.86,98.23,135.49,13.57,0.41,2.14,8.79,1.25,2
2001,6,5,17.33,18.64,4.7,74.37,5.98,7.8,0.55,340.31,111.51,141.18,15.44,0.48,2.47,8.36,1.85,2.66
2001,6,6,16.88,18.32,0.8,74.5,5.48,7.83,0.5,348.09,103.02,142.91,14.39,0.45,2.34,9.22,1.55,2.23
2001,6,7,17.12,18.72,4.2,74.5,5.93,7.78,0.55,345.21,110.45,140.84,15.39,0.48,2.46,8.36,1.63,2.52
2001,6,8,17.22,18.54,3.67,74.49,5.9,7.96,0.54,338.36,110.2,144.84,15.55,0.48,2.47,8.24,0.72,1.03
2001,6,9,15.8,17.05,3.37,74.54,4.7,7.71,0.43,352.66,88.83,140.37,12.54,0.39,2,10.5,1.38,1.83
2001,6,10,15.77,16.74,7.44,74.59,4.87,7.7,0.45,348.09,92.94,141.05,13.16,0.39,2.01,11.17,1.18,1.7
2001,6,11,15.35,16.17,10.24,74.58,4.72,7.78,0.43,335.63,89.98,143,12.7,0.38,1.91,11.35,0.61,0.99
2001,6,12,15.03,15.98,6.99,74.54,4.43,7.86,0.41,344.36,84.77,144.39,12.15,0.37,1.89,10.8,2.38,3.55
2001,6,13,15.53,16.65,6.31,74.43,4.97,7.91,0.45,337.03,94.49,145.43,13.49,0.41,2.11,10.74,1.38,2.13
2001,6,14,15.4,16.25,12.96,74.42,4.48,7.83,0.41,346.77,84.45,142.92,12.09,0.36,1.83,11.23,0.83,1.43
2001,6,15,14.3,15.06,6.17,74.58,4.32,7.58,0.4,337.32,81.41,137.52,11.51,0.34,1.75,10.8,1.79,2.64
2001,6,16,14.65,15.86,1.05,74.76,6.35,8.16,0.58,335.24,118.82,149.27,16.79,0.52,2.67,8.24,3.84,5.3
2001,6,17,12.76,14.16,2.01,74.8,6.84,8.34,0.62,319.55,126.76,152.27,17.77,0.53,2.74,6.9,3.48,4.81
2001,6,18,13.54,15.2,4.11,74.69,5.3,8.29,0.48,349.35,100.27,152.69,14.43,0.45,2.29,7.51,2.28,3.12
2001,6,19,14.1,15.73,7.8,74.67,5.47,8.12,0.5,343.99,103.99,150.19,14.95,0.46,2.39,8.97,1.31,1.77
2001,6,20,14.21,15.1,4.16,74.81,5.04,7.79,0.46,330.3,95.38,142.27,13.42,0.4,2.06,10.25,1.62,2.39
2001,6,21,14.23,14.99,5.17,74.84,4.81,7.78,0.44,340.26,90.78,141.55,12.74,0.38,1.98,10.56,1.15,1.77
2001,6,22,14.46,15.21,3.8,74.78,5.08,7.92,0.47,333.65,95.97,144.91,13.45,0.42,2.17,10.56,1.09,1.76
2001,6,23,15.51,16.8,2.29,74.76,4.24,7.6,0.39,352.41,79.85,136.95,11.23,0.35,1.8,10.38,1.84,2.5
2001,6,24,15.49,17,4,74.74,5.98,8.24,0.55,344.56,111.7,150.69,15.77,0.48,2.5,9.46,2.19,3.09
2001,6,25,15.19,16.62,5.31,74.7,5.66,8.02,0.52,341.57,106.42,146.97,15,0.45,2.3,10.07,1.45,2.05
2001,6,26,14.67,16.06,4.36,74.76,5.41,7.61,0.49,342.31,100.99,136.91,13.9,0.41,2.15,9.16,1.7,2.43
2001,6,27,13.45,14.43,7.29,74.86,4.82,7.25,0.45,342.88,89.41,129.02,12.23,0.36,1.87,9.58,1.87,2.68
2001,6,28,13.93,15.42,2.56,74.81,5.25,7.94,0.48,332.48,97.42,143.98,13.75,0.42,2.16,9.46,1.36,2.15
2001,6,29,14.98,15.89,1.8,74.73,4.89,7.73,0.45,331.12,91.38,141.33,12.79,0.39,2.01,9.7,1.34,2.02
2001,6,30,15.21,16.19,2.06,74.62,4.87,7.68,0.45,338.44,91.19,138.97,12.74,0.4,2.05,10.38,1.02,1.6
2001,7,1,14.73,15.82,6.25,74.53,5.14,7.7,0.47,339.27,96.2,138.98,13.45,0.41,2.12,10.19,1.09,1.55
2001,7,2,14.37,15.42,7.88,74.52,4.39,7.78,0.41,346.88,82.69,141.5,11.8,0.35,1.79,10.74,1.35,2.12
2001,7,3,13.87,14.66,10.23,74.66,4.22,7.83,0.39,353.7,80.23,143.38,11.57,0.36,1.84,10.68,2.33,3.52
2001,7,4,13.9,14.8,7.28,74.78,3.92,7.76,0.36,348.48,75.02,142.24,10.79,0.34,1.72,10.38,2.07,3.04
2001,7,5,14.83,16.01,2.86,74.77,6.32,7.96,0.58,339.2,118.39,145.87,16.59,0.51,2.66,10.13,1.88,2.77
2001,7,6,15.35,16.61,1.36,74.77,7.3,8.18,0.67,331.19,136.53,150.98,18.94,0.56,2.9,8.67,1.47,2.22
2001,7,7,14.94,16.09,1.87,74.77,6.97,8.28,0.64,335.9,129.66,151.99,18.19,0.54,2.8,8.61,1.91,2.69
2001,7,8,14.62,15.79,7.32,74.76,5.45,8.01,0.5,341.38,102.68,147.41,14.62,0.42,2.17,9.7,1.25,1.69
2001,7,9,14.33,15.23,5.35,74.67,6.47,8.2,0.59,329.81,121.23,151.57,17.05,0.5,2.59,9.77,1.75,2.49
